 time            vgs_fr          time            vds_fr         
 6.62800000e-07  6.98463765e-01  6.62800000e-07  8.63411366e-01 
 6.72800000e-07  6.98153539e-01  6.72800000e-07  8.66380856e-01 
 6.82800000e-07  6.97878227e-01  6.82800000e-07  8.69074097e-01 
 6.92800000e-07  6.97638913e-01  6.92800000e-07  8.71481341e-01 
 7.02800000e-07  6.97436544e-01  7.02800000e-07  8.73593905e-01 
 7.12800000e-07  6.97271918e-01  7.12800000e-07  8.75404190e-01 
 7.22800000e-07  6.97145683e-01  7.22800000e-07  8.76905697e-01 
 7.32800000e-07  6.97058340e-01  7.32800000e-07  8.78093040e-01 
 7.42800000e-07  6.97010231e-01  7.42800000e-07  8.78961955e-01 
 7.52800000e-07  6.97001548e-01  7.52800000e-07  8.79509315e-01 
 7.62800000e-07  6.97032323e-01  7.62800000e-07  8.79733129e-01 
 7.72800000e-07  6.97102437e-01  7.72800000e-07  8.79632554e-01 
 7.82800000e-07  6.97211612e-01  7.82800000e-07  8.79207889e-01 
 7.92800000e-07  6.97359417e-01  7.92800000e-07  8.78460583e-01 
 8.02800000e-07  6.97545269e-01  8.02800000e-07  8.77393226e-01 
 8.12800000e-07  6.97768434e-01  8.12800000e-07  8.76009551e-01 
 8.22800000e-07  6.98028033e-01  8.22800000e-07  8.74314425e-01 
 8.32800000e-07  6.98323039e-01  8.32800000e-07  8.72313839e-01 
 8.42800000e-07  6.98652290e-01  8.42800000e-07  8.70014900e-01 
 8.52800000e-07  6.99014485e-01  8.52800000e-07  8.67425814e-01 
 8.62800000e-07  6.99408196e-01  8.62800000e-07  8.64555873e-01 
 8.72800000e-07  6.99831867e-01  8.72800000e-07  8.61415430e-01 
 8.82800000e-07  7.00283829e-01  8.82800000e-07  8.58015881e-01 
 8.92800000e-07  7.00762295e-01  8.92800000e-07  8.54369632e-01 
 9.02800000e-07  7.01265379e-01  9.02800000e-07  8.50490072e-01 
 9.12800000e-07  7.01791096e-01  9.12800000e-07  8.46391538e-01 
 9.22800000e-07  7.02337369e-01  9.22800000e-07  8.42089274e-01 
 9.32800000e-07  7.02902043e-01  9.32800000e-07  8.37599384e-01 
 9.42800000e-07  7.03482891e-01  9.42800000e-07  8.32938791e-01 
 9.52800000e-07  7.04077618e-01  9.52800000e-07  8.28125177e-01 
 9.62800000e-07  7.04683879e-01  9.62800000e-07  8.23176925e-01 
 9.72800000e-07  7.05299281e-01  9.72800000e-07  8.18113062e-01 
 9.82800000e-07  7.05921395e-01  9.82800000e-07  8.12953184e-01 
 9.92800000e-07  7.06547765e-01  9.92800000e-07  8.07717389e-01 
 1.00280000e-06  7.07175920e-01  1.00280000e-06  8.02426201e-01 
 1.01280000e-06  7.07803381e-01  1.01280000e-06  7.97100485e-01 
 1.02280000e-06  7.08427671e-01  1.02280000e-06  7.91761367e-01 
 1.03280000e-06  7.09046327e-01  1.03280000e-06  7.86430147e-01 
 1.04280000e-06  7.09656907e-01  1.04280000e-06  7.81128207e-01 
 1.05280000e-06  7.10257002e-01  1.05280000e-06  7.75876919e-01 
 1.06280000e-06  7.10844242e-01  1.06280000e-06  7.70697554e-01 
